,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
28,Too Many Times,5PqhgVW7QGrIUHSwxV89xy,206201,https://open.spotify.com/track/5PqhgVW7QGrIUHSwxV89xy,0.729,0.768,0,-6.012,0.059,0.14,0.0,0.143,0.526,109.002
29,Kill Me Better,5ohyF1TaL2ks2mrEJqLtfs,193500,https://open.spotify.com/track/5ohyF1TaL2ks2mrEJqLtfs,0.509,0.781,8,-3.489,0.0378,0.107,0.0,0.128,0.529,80.046
30,Grateful,2wmZFiWL7MKt2vQe6DPanz,241397,https://open.spotify.com/track/2wmZFiWL7MKt2vQe6DPanz,0.78,0.593,8,-8.226,0.37,0.397,0.0,0.0712,0.792,159.995
31,SANTA MONICA,2h3jBh2kDDRSDbwzJqelFx,165034,https://open.spotify.com/track/2h3jBh2kDDRSDbwzJqelFx,0.708,0.667,4,-5.854,0.0356,0.16,0.000683,0.183,0.616,145.976
32,東京フラッシュ,0jPZf5231RdBUMLFG1HqXi,258858,https://open.spotify.com/track/0jPZf5231RdBUMLFG1HqXi,0.628,0.634,2,-5.508,0.0322,0.00255,7.24e-06,0.0456,0.606,97.99
33,WTF,2ejZLWVTTr39e67FWxfWig,127346,https://open.spotify.com/track/2ejZLWVTTr39e67FWxfWig,0.764,0.466,4,-9.466,0.0647,0.494,0.0,0.101,0.225,98.032
34,complicate it,53iLwDjHRtP84RCze0ltth,156773,https://open.spotify.com/track/53iLwDjHRtP84RCze0ltth,0.706,0.599,1,-5.248,0.0518,0.318,0.0,0.083,0.463,94.096
35,Without Me (with Juice WRLD),6Zc5f20q7sOe1IC1c1jQvZ,228816,https://open.spotify.com/track/6Zc5f20q7sOe1IC1c1jQvZ,0.744,0.514,6,-6.103,0.0746,0.355,0.0,0.184,0.449,136.013
36,I Find It Hard,3HXMz5tYDJtmNonmSgHHDQ,178853,https://open.spotify.com/track/3HXMz5tYDJtmNonmSgHHDQ,0.737,0.619,1,-4.568,0.114,0.0574,0.0,0.0807,0.539,152.023
37,Tippy Top,0nNv7m7vD6U1KmEyaeHn8L,159010,https://open.spotify.com/track/0nNv7m7vD6U1KmEyaeHn8L,0.724,0.736,0,-5.339,0.0615,0.23,3.13e-05,0.111,0.338,145.019
38,A Letter To My Younger Self (feat. Logic),73681b7Hc0THHGZrSzl75y,212013,https://open.spotify.com/track/73681b7Hc0THHGZrSzl75y,0.822,0.834,6,-2.879,0.0663,0.0358,0.0,0.0461,0.77,115.006
39,Understand,6dGqGkYDoRrKh5UiIcTT22,171946,https://open.spotify.com/track/6dGqGkYDoRrKh5UiIcTT22,0.828,0.658,6,-6.19,0.14,0.81,1.06e-06,0.277,0.917,103.051
40,Crazy,2KDzDkgqwB4VHH1Uj8GoRp,144700,https://open.spotify.com/track/2KDzDkgqwB4VHH1Uj8GoRp,0.631,0.685,4,-5.07,0.0977,0.229,5.78e-06,0.411,0.592,80.016
41,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,213593,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,0.276,0.149,0.0,0.271,0.463,123.984
42,Long Drives,1APefTkgjjwQfZbUWQkOFc,159933,https://open.spotify.com/track/1APefTkgjjwQfZbUWQkOFc,0.854,0.667,1,-7.04,0.111,0.513,3.21e-05,0.119,0.986,130.021
43,Never Been,0aAk9KMmPChiS2EG9Fg7IX,247133,https://open.spotify.com/track/0aAk9KMmPChiS2EG9Fg7IX,0.664,0.795,10,-6.083,0.0448,0.11,4.53e-06,0.575,0.64,101.079
