id,progress_ms,context,playlist_uri,time
36ibjANovvUo60xwamxLt7,170156,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665130049.3052654
2cvOfKHOHgwQlLiuLKP2xR,158120,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665130207.676891
5lZtXVDsSQaa43CfCuTx1F,101647,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665130309.3265247
20O2mCvJkmrZ5RNED9tbpu,119066,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665130429.5769696
0AlQL0hBWA1yTodHv30eYn,165762,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665130595.5987985
0DntsVelzYRISWeBf4rmah,131396,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665130727.8923087
2k5rWMAz9RvFS3k3kk3cc5,135000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665130863.4850614
6IirkWmtTPvDHg5J9IpxYS,145096,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665131009.086955
4qahEWQ9T4MlTFnDqbWtQU,156038,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665131164.864387
2tijppLc0gaWA2AfPDANvq,168180,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665131333.7198267
1w9L6dvttZalWd8XqFYvSa,135000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665131469.2759411
6wFqLYmiXyGvprbWa4ogm8,202779,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665131672.765658
5r64v5lI7wzteBY84dBvOT,22153,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665132797.8371556
3Bgl1xMI00capuTqUHBNUW,184093,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665132981.5238903
5JY5XNdyskEurS85nHeKr3,195220,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665133176.6291006
0hGRIPiiHZKFSXvvUqeXSX,171226,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665133348.9297748
0SkAhwaQTzxKE4luHN0H4m,170458,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665133519.1777458
2Pg7akoQO6dVVfGd3tWUV8,129396,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665133649.0436995
5PmtPTXrLqgqQfqngsUqZp,114427,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665133764.1573248
32FMAbZAzs3D70UuvnN6y4,164174,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665133929.3409264
0w57Y6usGOz6jz99s6eXkO,190524,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665134120.1986492
0uqc00wyYU4ikXuVFDaqux,135233,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665134256.3833747
3x04ph0jWlk4EgxgQ42gdK,141956,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665134398.6716032
7CLn8kURV1kTQmARRCSEQ3,157089,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665134555.758431
4aPzU7jCuoBibw6zGuzRdq,194810,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665134751.045339
6bVFrhyMHTWzRe5v5RTnSA,156188,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665134908.310703
7w2iqaRxQgAGnkOdMhsiqu,191973,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665135100.457003
20GbyJrUmAAZIt2x180YUF,154787,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665135255.235758
7l8MgcIPx3tDfNpyKzr9ey,46754,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665135302.0152092
3A9RV7frnaeqKGvF7kb0vd,125951,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665135426.9520633
2qiadkWrq9h1i34Ut7KeTh,173066,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665135600.333527
1HMwQR2U8VBEow0JzOAmA4,169789,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665135770.8966277
5cSg8SdClubjZ32WrKwzAW,162711,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665135934.586756
1Hdh6lJUR1WZCiNPVWxLTA,137721,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665136072.791841
5OJmt1xiOHZJGx8wTUAjEC,151724,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665136224.2484028
3FcsP46yuD5OhisPkp0jFT,138212,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665136363.962779
6Jg3EeDICY79tUMfXNbS9Y,168817,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665136532.522748
0jcPxc7Fme2oYb2MfFkOy6,215394,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665136748.764522
6VN3dKYTClhY5eYQEnBehr,203972,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665136953.8684595
2mzrBSA0RI0VOWwZxzHGnv,182000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665137136.3806777
2MyF6gLfTUve0eXR9rWbcI,143909,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665137281.4524949
1rt9XZv70RLjjdeG6MDh1y,202273,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665137484.2571821
02gGfhPHk5NuN0mgbKpU4Y,178787,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665137663.3510382
0UJP4F2kGFf3ZhbV2QfFgu,162000,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665137825.517387
2s14ypvd880AiEfZssEjaY,143587,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665137969.5673697
1H7GjHUmLxp2NRSwDC3eso,179024,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665138149.3350427
1rt9XZv70RLjjdeG6MDh1y,201332,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665166239.0329862
6MjNilJCVKJq0LfFvo5jWJ,208517,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665166447.4346533
7CLn8kURV1kTQmARRCSEQ3,157089,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665166604.979873
20O2mCvJkmrZ5RNED9tbpu,117679,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665166724.660707
2MyF6gLfTUve0eXR9rWbcI,143909,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665166869.3462129
0uqc00wyYU4ikXuVFDaqux,134152,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665167057.623212
0hGRIPiiHZKFSXvvUqeXSX,171226,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665167229.9193604
18ogPzQRSl9oUcYUS35g7D,184946,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665167415.7926087
6ddxSkfDxR8krMcheEmuzL,221318,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665167637.3375685
6Jg3EeDICY79tUMfXNbS9Y,168975,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665167806.9195962
1r8ZCjfrQxoy2wVaBUbpwg,164781,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665167972.7407768
0UJP4F2kGFf3ZhbV2QfFgu,161187,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665168135.1427352
0jcPxc7Fme2oYb2MfFkOy6,215394,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665168351.1266408
3DIRkZsEx7zFl6ow9qsyHz,74023,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665168424.4521594
36ibjANovvUo60xwamxLt7,9368,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665168433.257468
4aPzU7jCuoBibw6zGuzRdq,194810,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665168627.379154
7pkpdj7AWQjujxxe38WF8f,163373,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665168793.0539618
7wIcRhedBpZGpLf9PGKUEh,173250,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665168964.7517927
5PmtPTXrLqgqQfqngsUqZp,114427,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665169079.2710311
3Bgl1xMI00capuTqUHBNUW,184093,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665169264.0528483
6D7Y1ifRZYfqaTvffJ2zGT,88840,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665169352.9280663
0o8iO4tGwKdxRePgMo9Qrw,144608,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665169497.1524124
6mWCikZXHCCnEwkwyJ2L8G,147183,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665169644.770401
2ZQLEuaDw9rxJ5u5YR0KEw,142663,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665169787.7651684
0pM1oWq2iw8W0AY6ORdC0x,150118,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665169939.1227026
5cSg8SdClubjZ32WrKwzAW,162409,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665170102.8198814
45HHTHXv7gQ5q2r89ui2Fy,126935,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665170230.9135764
0Av7Ar6HYYeCKVYbDSQSbY,66760,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665170310.6692271
1Hdh6lJUR1WZCiNPVWxLTA,3153,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665170312.9243495
2cvOfKHOHgwQlLiuLKP2xR,157064,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665170469.4961014
24ovEYWV3PjlLOSsmNEWQv,242762,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665170802.346217
0DntsVelzYRISWeBf4rmah,111940,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665170914.474417
6wFqLYmiXyGvprbWa4ogm8,201647,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665171115.9795244
6VN3dKYTClhY5eYQEnBehr,203972,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665171321.7089372
2qiadkWrq9h1i34Ut7KeTh,173066,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665171495.4181466
6IirkWmtTPvDHg5J9IpxYS,145096,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665171640.3706589
6M1nfYPKy7DRk3IrhFVViQ,182547,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665171824.167343
5YSu5bnAHeB7pn43F9wdbm,153882,playlist,spotify:playlist:4sbwvhxD0eE6JbpTpNGnHu,1665171978.4608462
