,Unnamed: 0,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
742,742,Day 'N' Nite (nightmare),5FEXPoPnzueFJQCPRIrC3c,221266,https://open.spotify.com/track/5FEXPoPnzueFJQCPRIrC3c,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu'}, 'href': 'https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu', 'id': '0fA0VVWsXO9YnASrzqfmYu', 'name': 'Kid Cudi', 'type': 'artist', 'uri': 'spotify:artist:0fA0VVWsXO9YnASrzqfmYu'}]",2021-02-25T05:29:41Z,0.871,0.44,11,-6.25,0.0761,0.499,4.15e-06,0.114,0.799,137.996
928,928,Pursuit Of Happiness (Nightmare),5iSEsR6NKjlC9SrIJkyL3k,295293,https://open.spotify.com/track/5iSEsR6NKjlC9SrIJkyL3k,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu'}, 'href': 'https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu', 'id': '0fA0VVWsXO9YnASrzqfmYu', 'name': 'Kid Cudi', 'type': 'artist', 'uri': 'spotify:artist:0fA0VVWsXO9YnASrzqfmYu'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0SwO7SWeDHJijQ3XNS7xEE'}, 'href': 'https://api.spotify.com/v1/artists/0SwO7SWeDHJijQ3XNS7xEE', 'id': '0SwO7SWeDHJijQ3XNS7xEE', 'name': 'MGMT', 'type': 'artist', 'uri': 'spotify:artist:0SwO7SWeDHJijQ3XNS7xEE'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/57dN52uHvrHOxijzpIgu3E'}, 'href': 'https://api.spotify.com/v1/artists/57dN52uHvrHOxijzpIgu3E', 'id': '57dN52uHvrHOxijzpIgu3E', 'name': 'Ratatat', 'type': 'artist', 'uri': 'spotify:artist:57dN52uHvrHOxijzpIgu3E'}]",2019-11-20T01:07:23Z,0.63,0.605,0,-8.951,0.0414,0.484,9.29e-05,0.298,0.266,115.277
997,997,Soundtrack 2 My Life,1cdC9TCqyLwAlsw3fVJaJS,235626,https://open.spotify.com/track/1cdC9TCqyLwAlsw3fVJaJS,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu'}, 'href': 'https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu', 'id': '0fA0VVWsXO9YnASrzqfmYu', 'name': 'Kid Cudi', 'type': 'artist', 'uri': 'spotify:artist:0fA0VVWsXO9YnASrzqfmYu'}]",2018-12-18T04:18:51Z,0.464,0.754,9,-6.653,0.128,0.465,1.57e-05,0.37,0.444,86.501
1023,1023,Erase Me - Main,6XkuklKiHYVTlVvWlTgQYP,192253,https://open.spotify.com/track/6XkuklKiHYVTlVvWlTgQYP,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu'}, 'href': 'https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu', 'id': '0fA0VVWsXO9YnASrzqfmYu', 'name': 'Kid Cudi', 'type': 'artist', 'uri': 'spotify:artist:0fA0VVWsXO9YnASrzqfmYu'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'}, 'href': 'https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x', 'id': '5K4W6rqBFWDnAN6FQUkS6x', 'name': 'Kanye West', 'type': 'artist', 'uri': 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'}]",2018-02-22T19:08:15Z,0.687,0.631,9,-5.612,0.129,0.063,0.0,0.108,0.853,186.071
