,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
10,numb (feat. blackbear),05UKPuq9D7C6YDaps38ReU,177729,https://open.spotify.com/track/05UKPuq9D7C6YDaps38ReU,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3VWII9MTZSfIdOXr1DafzL'}, 'href': 'https://api.spotify.com/v1/artists/3VWII9MTZSfIdOXr1DafzL', 'id': '3VWII9MTZSfIdOXr1DafzL', 'name': 'lilspirit', 'type': 'artist', 'uri': 'spotify:artist:3VWII9MTZSfIdOXr1DafzL'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2cFrymmkijnjDg9SS92EPM'}, 'href': 'https://api.spotify.com/v1/artists/2cFrymmkijnjDg9SS92EPM', 'id': '2cFrymmkijnjDg9SS92EPM', 'name': 'blackbear', 'type': 'artist', 'uri': 'spotify:artist:2cFrymmkijnjDg9SS92EPM'}]",2022-10-01T01:07:50Z,0.481,0.51,2,-8.73,0.279,0.602,0.0,0.145,0.545,90.621
11,Hopeless Romantic,1H7GjHUmLxp2NRSwDC3eso,179024,https://open.spotify.com/track/1H7GjHUmLxp2NRSwDC3eso,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3ls1Lwf5mCUgGljvESjcke'}, 'href': 'https://api.spotify.com/v1/artists/3ls1Lwf5mCUgGljvESjcke', 'id': '3ls1Lwf5mCUgGljvESjcke', 'name': 'Chini', 'type': 'artist', 'uri': 'spotify:artist:3ls1Lwf5mCUgGljvESjcke'}]",2022-09-30T17:25:05Z,0.84,0.363,9,-10.444,0.0837,0.526,0.0,0.104,0.444,98.003
12,best friends,2ZQLEuaDw9rxJ5u5YR0KEw,142663,https://open.spotify.com/track/2ZQLEuaDw9rxJ5u5YR0KEw,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0yXuo2N8r6dzzGgnLNLGZm'}, 'href': 'https://api.spotify.com/v1/artists/0yXuo2N8r6dzzGgnLNLGZm', 'id': '0yXuo2N8r6dzzGgnLNLGZm', 'name': 'sammy rash', 'type': 'artist', 'uri': 'spotify:artist:0yXuo2N8r6dzzGgnLNLGZm'}]",2022-09-28T22:57:37Z,0.932,0.462,5,-9.017,0.0964,0.514,0.0,0.14,0.829,116.045
13,Risk,48WrlXwOmbjHcj54GT3WKC,137179,https://open.spotify.com/track/48WrlXwOmbjHcj54GT3WKC,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}]",2022-09-28T22:38:09Z,0.65,0.469,10,-3.983,0.032,0.00993,0.0,0.324,0.418,157.946
14,Drugs,4aPzU7jCuoBibw6zGuzRdq,194810,https://open.spotify.com/track/4aPzU7jCuoBibw6zGuzRdq,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}]",2022-09-28T22:34:47Z,0.613,0.719,9,-7.312,0.0376,0.119,0.0,0.112,0.613,129.946
15,Maniac,20ZUe6IViJpDMMvJlugC9i,137600,https://open.spotify.com/track/20ZUe6IViJpDMMvJlugC9i,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7kiCkMJHLchcrQByu2yHDk'}, 'href': 'https://api.spotify.com/v1/artists/7kiCkMJHLchcrQByu2yHDk', 'id': '7kiCkMJHLchcrQByu2yHDk', 'name': 'Anthony Ortiz', 'type': 'artist', 'uri': 'spotify:artist:7kiCkMJHLchcrQByu2yHDk'}]",2022-09-28T22:29:37Z,0.531,0.893,1,-4.736,0.0426,0.000208,0.0,0.325,0.809,150.027
16,19,24ovEYWV3PjlLOSsmNEWQv,243813,https://open.spotify.com/track/24ovEYWV3PjlLOSsmNEWQv,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}]",2022-09-28T22:19:02Z,0.688,0.782,4,-5.419,0.0279,0.244,0.0,0.632,0.659,100.024
17,Groceries,2NOvncNc4Cppprw7dd44tn,176875,https://open.spotify.com/track/2NOvncNc4Cppprw7dd44tn,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/04ei5kNgmDuNAydFhhIHnD'}, 'href': 'https://api.spotify.com/v1/artists/04ei5kNgmDuNAydFhhIHnD', 'id': '04ei5kNgmDuNAydFhhIHnD', 'name': 'Landon Cube', 'type': 'artist', 'uri': 'spotify:artist:04ei5kNgmDuNAydFhhIHnD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3uJx5SnOM59Li7lCxA3b29'}, 'href': 'https://api.spotify.com/v1/artists/3uJx5SnOM59Li7lCxA3b29', 'id': '3uJx5SnOM59Li7lCxA3b29', 'name': 'Lil Keed', 'type': 'artist', 'uri': 'spotify:artist:3uJx5SnOM59Li7lCxA3b29'}]",2022-09-28T22:12:56Z,0.745,0.571,9,-6.505,0.0546,0.0908,0.0,0.0941,0.258,152.052
18,Down Bad,6BxL2JcykvCLnsLzmbHRJr,130250,https://open.spotify.com/track/6BxL2JcykvCLnsLzmbHRJr,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6JygKoUdCYpjiwjQFFolI7'}, 'href': 'https://api.spotify.com/v1/artists/6JygKoUdCYpjiwjQFFolI7', 'id': '6JygKoUdCYpjiwjQFFolI7', 'name': 'Ryan Librada', 'type': 'artist', 'uri': 'spotify:artist:6JygKoUdCYpjiwjQFFolI7'}]",2022-09-27T21:00:06Z,0.788,0.629,11,-5.312,0.0317,0.0503,0.0,0.502,0.63,120.032
19,KIDS ON MOLLY,7pkpdj7AWQjujxxe38WF8f,163373,https://open.spotify.com/track/7pkpdj7AWQjujxxe38WF8f,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3hOdow4ZPmrby7Q1wfPLEy'}, 'href': 'https://api.spotify.com/v1/artists/3hOdow4ZPmrby7Q1wfPLEy', 'id': '3hOdow4ZPmrby7Q1wfPLEy', 'name': 'Aries', 'type': 'artist', 'uri': 'spotify:artist:3hOdow4ZPmrby7Q1wfPLEy'}]",2022-09-27T20:52:04Z,0.572,0.674,0,-8.592,0.0805,0.0808,1.44e-06,0.175,0.487,166.09
