,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,おもかげ -self cover-,6uqewERWZ1vzfCcin1zFIp,209920,https://open.spotify.com/track/6uqewERWZ1vzfCcin1zFIp,0.553,0.756,8,-5.155,0.0379,0.00138,7.49e-05,0.0591,0.937,190.02
1,Hate Myself,5PdEiev2BkKiZtZFcNKjfM,260253,https://open.spotify.com/track/5PdEiev2BkKiZtZFcNKjfM,0.533,0.84,9,-5.283,0.167,0.234,0.0,0.114,0.361,116.882
