,name,song_ids,duration_ms,url,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
28,Ballin,17N5FdRwJuv3UXQ7MHnbhF,166080,https://open.spotify.com/track/17N5FdRwJuv3UXQ7MHnbhF,0.737,0.854,3,-6.414,0.221,0.0475,0.0,0.0905,0.65,150.621
29,Go!,4Fd2jLQspwZVv7hF3bXHFg,160666,https://open.spotify.com/track/4Fd2jLQspwZVv7hF3bXHFg,0.792,0.875,8,-4.128,0.0378,0.0366,0.743,0.123,0.587,90.006
30,Zoom!,1Vv93qCC50ckZdeXh7Etln,127741,https://open.spotify.com/track/1Vv93qCC50ckZdeXh7Etln,0.728,0.482,1,-10.433,0.107,0.0634,0.0,0.293,0.845,124.069
31,ALRIGHT*,2t5C1Qlfmo4cSc4Zburcrh,159520,https://open.spotify.com/track/2t5C1Qlfmo4cSc4Zburcrh,0.696,0.913,7,-3.218,0.228,0.0817,0.0,0.0501,0.862,166.858
32,GT350,3VCkpfVpmCYpOSoFLVhlmE,152341,https://open.spotify.com/track/3VCkpfVpmCYpOSoFLVhlmE,0.851,0.684,10,-6.173,0.106,0.272,4.68e-06,0.0821,0.511,147.973
33,Genius Freestyle,4BBdqseuTM0SZEB2S8FXQ9,182500,https://open.spotify.com/track/4BBdqseuTM0SZEB2S8FXQ9,0.797,0.49,9,-11.569,0.2,0.288,0.00159,0.0887,0.33,95.997
34,Maniac,20ZUe6IViJpDMMvJlugC9i,137600,https://open.spotify.com/track/20ZUe6IViJpDMMvJlugC9i,0.531,0.893,1,-4.736,0.0426,0.000208,0.0,0.325,0.809,150.027
35,When I Grow Up,5rLyYxZNzca00ENADO9m54,196800,https://open.spotify.com/track/5rLyYxZNzca00ENADO9m54,0.817,0.814,2,-3.985,0.185,0.32,0.0,0.152,0.247,109.994
36,Hate Myself,5PdEiev2BkKiZtZFcNKjfM,260253,https://open.spotify.com/track/5PdEiev2BkKiZtZFcNKjfM,0.533,0.84,9,-5.283,0.167,0.234,0.0,0.114,0.361,116.882
37,THAT'S A JOKE,27a0ydWvFCt4jgl9m61lS1,229656,https://open.spotify.com/track/27a0ydWvFCt4jgl9m61lS1,0.788,0.933,9,-2.664,0.298,0.599,0.0,0.685,0.6,139.016
