,Unnamed: 0,song_names,song_ids,duration,song_urls,artists,added_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
67,67,Motley Crew,40uMIn2zJLAQhNXghRjBed,184213,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60'}, 'href': 'https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60', 'id': '246dkjvS1zLTtiykXe5h60', 'name': 'Post Malone', 'type': 'artist', 'uri': 'spotify:artist:246dkjvS1zLTtiykXe5h60'}]",2022-09-02T16:42:41Z,0.797,0.631,3,-3.818,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915
68,68,GT350,3VCkpfVpmCYpOSoFLVhlmE,152341,https://open.spotify.com/track/3VCkpfVpmCYpOSoFLVhlmE,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-09-01T19:25:32Z,0.851,0.684,10,-6.173,0.106,0.272,4.68e-06,0.0821,0.511,147.973
77,77,Genius Freestyle,4BBdqseuTM0SZEB2S8FXQ9,182500,https://open.spotify.com/track/4BBdqseuTM0SZEB2S8FXQ9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2wcrc3fjebDRLVdtRUa3pu'}, 'href': 'https://api.spotify.com/v1/artists/2wcrc3fjebDRLVdtRUa3pu', 'id': '2wcrc3fjebDRLVdtRUa3pu', 'name': 'Cal Scruby', 'type': 'artist', 'uri': 'spotify:artist:2wcrc3fjebDRLVdtRUa3pu'}]",2022-08-23T17:52:39Z,0.797,0.49,9,-11.569,0.2,0.288,0.00159,0.0887,0.33,95.997
92,92,Kratos,2M9YTMEuh7I00d5ULB1S6J,164326,https://open.spotify.com/track/2M9YTMEuh7I00d5ULB1S6J,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-08-15T20:57:10Z,0.774,0.559,1,-7.142,0.0406,0.00622,7.9e-06,0.0736,0.194,130.101
93,93,Into the Fray,1kZlP6WS7rIsxbZGFIoMQg,173081,https://open.spotify.com/track/1kZlP6WS7rIsxbZGFIoMQg,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-08-15T20:55:34Z,0.38,0.835,2,-7.299,0.233,0.00864,2.32e-06,0.136,0.381,169.895
94,94,NO MERCY,4YHTQ2v1wYvZa29rhlT1n7,139970,https://open.spotify.com/track/4YHTQ2v1wYvZa29rhlT1n7,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2rWCIhENZyPVDAeFC0ESWN'}, 'href': 'https://api.spotify.com/v1/artists/2rWCIhENZyPVDAeFC0ESWN', 'id': '2rWCIhENZyPVDAeFC0ESWN', 'name': 'Josh A', 'type': 'artist', 'uri': 'spotify:artist:2rWCIhENZyPVDAeFC0ESWN'}]",2022-08-15T20:53:30Z,0.696,0.696,8,-7.214,0.269,0.054,0.0,0.2,0.414,146.709
95,95,RUN UP!,7oDUCu36rMex65tc03C8er,139005,https://open.spotify.com/track/7oDUCu36rMex65tc03C8er,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2rWCIhENZyPVDAeFC0ESWN'}, 'href': 'https://api.spotify.com/v1/artists/2rWCIhENZyPVDAeFC0ESWN', 'id': '2rWCIhENZyPVDAeFC0ESWN', 'name': 'Josh A', 'type': 'artist', 'uri': 'spotify:artist:2rWCIhENZyPVDAeFC0ESWN'}]",2022-08-15T20:49:32Z,0.598,0.834,1,-4.79,0.196,0.123,0.0,0.338,0.603,84.488
96,96,Voidwalker,5oRF3J9rBRWCNMTi0odITe,148500,https://open.spotify.com/track/5oRF3J9rBRWCNMTi0odITe,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26JloX1vHxGGrGUVeMItFJ'}, 'href': 'https://api.spotify.com/v1/artists/26JloX1vHxGGrGUVeMItFJ', 'id': '26JloX1vHxGGrGUVeMItFJ', 'name': 'iamjakehill', 'type': 'artist', 'uri': 'spotify:artist:26JloX1vHxGGrGUVeMItFJ'}]",2022-08-15T20:47:04Z,0.731,0.939,2,-3.581,0.0623,0.249,0.0,0.231,0.749,149.961
109,109,Run It (feat. Rick Ross & Rich Brian),5x4vgABKiGp4Vg7ZyFRxhn,163373,https://open.spotify.com/track/5x4vgABKiGp4Vg7ZyFRxhn,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4'}, 'href': 'https://api.spotify.com/v1/artists/540vIaP2JwjQb9dm3aArA4', 'id': '540vIaP2JwjQb9dm3aArA4', 'name': 'DJ Snake', 'type': 'artist', 'uri': 'spotify:artist:540vIaP2JwjQb9dm3aArA4'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1sBkRIssrMs1AbVkOJbc7a'}, 'href': 'https://api.spotify.com/v1/artists/1sBkRIssrMs1AbVkOJbc7a', 'id': '1sBkRIssrMs1AbVkOJbc7a', 'name': 'Rick Ross', 'type': 'artist', 'uri': 'spotify:artist:1sBkRIssrMs1AbVkOJbc7a'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2IDLDx25HU1nQMKde4n61a'}, 'href': 'https://api.spotify.com/v1/artists/2IDLDx25HU1nQMKde4n61a', 'id': '2IDLDx25HU1nQMKde4n61a', 'name': 'Rich Brian', 'type': 'artist', 'uri': 'spotify:artist:2IDLDx25HU1nQMKde4n61a'}]",2022-07-26T00:59:40Z,0.688,0.725,2,-7.806,0.044,0.0195,7.63e-06,0.0726,0.225,104.006
122,122,PRIMADONA,2mM2XCzLaXtiKbqfFqtZOh,114200,https://open.spotify.com/track/2mM2XCzLaXtiKbqfFqtZOh,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4iDroUFo89Y7YBsdDTBmTD'}, 'href': 'https://api.spotify.com/v1/artists/4iDroUFo89Y7YBsdDTBmTD', 'id': '4iDroUFo89Y7YBsdDTBmTD', 'name': 'Sueco', 'type': 'artist', 'uri': 'spotify:artist:4iDroUFo89Y7YBsdDTBmTD'}]",2022-07-24T17:05:59Z,0.819,0.699,8,-7.291,0.0469,0.0144,0.0,0.375,0.478,96.049
